file_size,download_speed_limit,concurrent_downloads,access_network,time_of_day,time_taken_1,time_taken_2,throughput_1,throughput_2,avg_throughput
1B,0,1,IIT Mandi-Wifi,7 to 10 pm,.393350267,.411996345,.00248267913340452874,.00237031835804271516,.00242649874572362195
1B,0,2,IIT Mandi-Wifi,7 to 10 pm,-2.310550134,.406748403,0,.00480180127468134152,.00240090063734067076
1B,0,5,IIT Mandi-Wifi,7 to 10 pm,.629463229,.520234171,.00775710522083570349,.00938579734317375319,.00857145128200472834
1B,5m,1,IIT Mandi-Wifi,7 to 10 pm,.446693238,.468757075,.00218620390219562714,.00208330188936348320,.00213475289577955517
1B,5m,2,IIT Mandi-Wifi,7 to 10 pm,.439552253,.483227594,.00444344213155472098,.00404183251174186878,.00424263732164829488
1B,5m,5,IIT Mandi-Wifi,7 to 10 pm,.597553675,.695818214,.00817133707695798205,.00701736804492444631,.00759435256094121418
1B,10m,1,IIT Mandi-Wifi,7 to 10 pm,.513661241,.429378672,.00190118004250976763,.00227436191800416206,.00208777098025696484
1B,10m,2,IIT Mandi-Wifi,7 to 10 pm,.426949284,.389894877,.00457460657083570609,.00500936307506292266,.00479198482294931437
1B,10m,5,IIT Mandi-Wifi,7 to 10 pm,.395387467,.390925040,.01234943671090110703,.01249040608910598308,.01241992140000354505
1kB,0,1,IIT Mandi-Wifi,7 to 10 pm,.387021607,.380738014,2.58383506737906754647,2.62647795394551803277,2.60515651066229278962
1kB,0,2,IIT Mandi-Wifi,7 to 10 pm,.390157087,.382917295,5.12614038457796871955,5.22305998218231432978,5.17460018338014152466
1kB,0,5,IIT Mandi-Wifi,7 to 10 pm,.398902831,.385210027,12.53438083521648408657,12.97993211376089127607,12.75715647448868768132
1kB,5m,1,IIT Mandi-Wifi,7 to 10 pm,.437240104,.385053293,2.28707291680636870400,2.59704310592663857571,2.44205801136650363985
1kB,5m,2,IIT Mandi-Wifi,7 to 10 pm,.397131746,.378542160,5.03611212184482476502,5.28342734663953943729,5.15976973424218210115
1kB,5m,5,IIT Mandi-Wifi,7 to 10 pm,.475605344,.448056749,10.51291803819597115376,11.15930071616887975946,10.83610937718242545661
1kB,10m,1,IIT Mandi-Wifi,7 to 10 pm,.368150744,.389403931,2.71627863395001043376,2.56802749122735486714,2.64215306258868265045
1kB,10m,2,IIT Mandi-Wifi,7 to 10 pm,.391336890,.358187843,5.11068608942029462134,5.58366242485789781536,5.34717425713909621835
1kB,10m,5,IIT Mandi-Wifi,7 to 10 pm,.405082318,.395672664,12.34317020966587833142,12.63670820585169361106,12.48993920775878597124
10kB,0,1,IIT Mandi-Wifi,7 to 10 pm,.423102756,.415913827,23.63492049671262363509,24.04344205656812655088,23.83918127664037509298
10kB,0,2,IIT Mandi-Wifi,7 to 10 pm,.390456380,.392177990,51.22211090519253392658,50.99725254851757488991,51.10968172685505440824
